City,County
Wind Ridge,Greene
Windber,Somerset
Windsor,York
Winfield,Union
Womelsdorf,Berks
Woodbury,Bedford
Woodland,Clearfield
Woodlyn,Delaware
Woodward,Centre
Worthington,Armstrong
Worthville,Jefferson
Wrightsville,York
Wyalusing,Bradford
Wyncote,Montgomery
Wynnewood,Montgomery
Wyoming,Luzerne
Wysox,Bradford
Yeagertown,Mifflin
York,York
York Haven,York
York Springs,Adams
Youngsville,Warren
Youngwood,Westmoreland
Yukon,Westmoreland
Zelienople,Butler
Zieglerville,Montgomery
Zion Grove,Schuylkill
Zionsville,Lehigh
Abbott ,Potter
Abbott Township,Potter
Abbottstown ,Adams
Abbottstown Borough,Adams
Abington ,Montgomery
Abington Township,Montgomery
Adams ,Butler
Adams Township,Butler
Adamsburg ,Westmoreland
Adamsburg Borough,Westmoreland
Adamstown ,Lancaster
Adamstown Borough,Lancaster
Addison ,Somerset
Addison Borough,Somerset
Addison Township,Somerset
Akron ,Lancaster
Akron Borough,Lancaster
Alba ,Bradford
Alba Borough,Bradford
Albany ,Berks
Albany Township,Berks
Albion ,Erie
Albion Borough,Erie
Alburtis ,Lehigh
Alburtis Borough,Lehigh
Aldan ,Delaware
Aldan Borough,Delaware
Aleppo ,Allegheny
Aleppo Township,Allegheny
Alexandria ,Huntingdon
Alexandria Borough,Huntingdon
Aliquippa City,Beaver
Allegany ,Potter
Allegany Township,Potter
Allegheny ,Blair
Allegheny Township,Blair
Allen ,Northampton
Allen Township,Northampton
Allenport ,Washington
Allenport Borough,Washington
Allentown City,Lehigh
Allison ,Clinton
Allison Township,Clinton
Alsace ,Berks
Alsace Township,Berks
Altoona City,Blair
Ambler ,Montgomery
Ambler Borough,Montgomery
Ambridge ,Beaver
Ambridge Borough,Beaver
Amity ,Berks
Amity Township,Berks
Amwell ,Washington
Amwell Township,Washington
Annin ,Mckean
Annin Township,Mckean
Annville ,Lebanon
Annville Township,Lebanon
Anthony ,Lycoming
Anthony Township,Lycoming
Antis ,Blair
Antis Township,Blair
Antrim ,Franklin
Antrim Township,Franklin
Apolacon ,Susquehanna
Apolacon Township,Susquehanna
Apollo ,Armstrong
Apollo Borough,Armstrong
Applewold ,Armstrong
Applewold Borough,Armstrong
Ararat ,Susquehanna
Ararat Township,Susquehanna
Archbald ,Lackawanna
Archbald Borough,Lackawanna
Arendtsville ,Adams
Arendtsville Borough,Adams
Armagh ,Indiana
Armagh Borough,Indiana
Armagh Township,Mifflin
Armenia ,Bradford
Armenia Township,Bradford
Armstrong ,Indiana
Armstrong Township,Indiana
Arnold City,Westmoreland
Arona ,Westmoreland
Arona Borough,Westmoreland
Ashland ,Clarion
Ashland Borough,Schuylkill
Ashland Township,Clarion
Ashley ,Luzerne
Ashley Borough,Luzerne
Ashville ,Cambria
Ashville Borough,Cambria
Aspinwall ,Allegheny
Aspinwall Borough,Allegheny
Aston ,Delaware
Aston Township,Delaware
Asylum ,Bradford
Asylum Township,Bradford
Atglen ,Chester
Atglen Borough,Chester
Athens ,Bradford
Athens Borough,Bradford
Athens Township,Bradford
Atwood ,Armstrong
Atwood Borough,Armstrong
Auburn ,Schuylkill
Auburn Borough,Schuylkill
Auburn Township,Susquehanna
Austin ,Potter
Austin Borough,Potter
Avalon ,Allegheny
Avalon Borough,Allegheny
Avis ,Clinton
Avis Borough,Clinton
Avoca ,Luzerne
Avoca Borough,Luzerne
Avondale ,Chester
Avondale Borough,Chester
Avonmore ,Westmoreland
Avonmore Borough,Westmoreland
Ayr ,Fulton
Ayr Township,Fulton
Baden ,Beaver
Baden Borough,Beaver
Bald Eagle ,Clinton
Bald Eagle Township,Clinton
Baldwin ,Allegheny
Baldwin Borough,Allegheny
Baldwin Township,Allegheny
Bally ,Berks
Bally Borough,Berks
Bangor ,Northampton
Bangor Borough,Northampton
Banks ,Carbon
Banks Township,Carbon
Barkeyville ,Venango
Barkeyville Borough,Venango
Barnett ,Forest
Barnett Township,Forest
Barr ,Cambria
Barr Township,Cambria
Barree ,Huntingdon
Barree Township,Huntingdon
Barrett ,Monroe
Barrett Township,Monroe
Barry ,Schuylkill
Barry Township,Schuylkill
Bart ,Lancaster
Bart Township,Lancaster
Bastress ,Lycoming
Bastress Township,Lycoming
Bath ,Northampton
Bath Borough,Northampton
Beale ,Juniata
Beale Township,Juniata
Beallsville ,Washington
Beallsville Borough,Washington
Bear Creek ,Luzerne
Bear Creek Township,Luzerne
Bear Creek Village ,Luzerne
Bear Creek Village Borough,Luzerne
Bear Lake ,Warren
Bear Lake Borough,Warren
Beaver ,Beaver
Beaver Borough,Beaver
Beaver Falls City,Beaver
Beaver Meadows ,Carbon
Beaver Meadows Borough,Carbon
Beaver Township,Clarion
Beavertown ,Snyder
Beavertown Borough,Snyder
Beccaria ,Clearfield
Beccaria Township,Clearfield
Bechtelsville ,Berks
Bechtelsville Borough,Berks
Bedford ,Bedford
Bedford Borough,Bedford
Bedford Township,Bedford
Bedminster ,Bucks
Bedminster Township,Bucks
Beech Creek ,Clinton
Beech Creek Borough,Clinton
Beech Creek Township,Clinton
Belfast ,Fulton
Belfast Township,Fulton
Bell ,Clearfield
Bell Acres ,Allegheny
Bell Acres Borough,Allegheny
Bell Township,Clearfield
Belle Vernon ,Fayette
Belle Vernon Borough,Fayette
Bellefonte ,Centre
Bellefonte Borough,Centre
Bellevue ,Allegheny
Bellevue Borough,Allegheny
Bellwood ,Blair
Bellwood Borough,Blair
Ben Avon ,Allegheny
Ben Avon Borough,Allegheny
Ben Avon Heights ,Allegheny
Ben Avon Heights Borough,Allegheny
Bendersville ,Adams
Bendersville Borough,Adams
Benezette ,Elk
Benezette Township,Elk
Benner ,Centre
Benner Township,Centre
Bensalem ,Bucks
Bensalem Township,Bucks
Benson ,Somerset
Benson Borough,Somerset
Bentleyville ,Washington
Bentleyville Borough,Washington
Benton ,Columbia
Benton Borough,Columbia
Benton Township,Columbia
Berlin ,Somerset
Berlin Borough,Somerset
Berlin Township,Wayne
Bern ,Berks
Bern Township,Berks
Bernville ,Berks
Bernville Borough,Berks
Berrysburg ,Dauphin
Berrysburg Borough,Dauphin
Berwick ,Adams
Berwick Borough,Columbia
Berwick Township,Adams
Bessemer ,Lawrence
Bessemer Borough,Lawrence
Bethany ,Wayne
Bethany Borough,Wayne
Bethel ,Armstrong
Bethel Park ,Allegheny
Bethel Park Borough,Allegheny
Bethel Township,Armstrong
Bethlehem ,Northampton
Bethlehem City,Northampton
Bethlehem Township,Northampton
Big Beaver ,Beaver
Big Beaver Borough,Beaver
Big Run ,Jefferson
Big Run Borough,Jefferson
Bigler ,Clearfield
Bigler Township,Clearfield
Biglerville ,Adams
Biglerville Borough,Adams
Bingham ,Potter
Bingham Township,Potter
Birdsboro ,Berks
Birdsboro Borough,Berks
Birmingham ,Chester
Birmingham Borough,Huntingdon
Birmingham Township,Chester
Black ,Somerset
Black Creek ,Luzerne
Black Creek Township,Luzerne
Black Lick ,Indiana
Black Lick Township,Indiana
Black Township,Somerset
Blacklick ,Cambria
Blacklick Township,Cambria
Blain ,Perry
Blain Borough,Perry
Blaine ,Washington
Blaine Township,Washington
Blair ,Blair
Blair Township,Blair
Blairsville ,Indiana
Blairsville Borough,Indiana
Blakely ,Lackawanna
Blakely Borough,Lackawanna
Blawnox ,Allegheny
Blawnox Borough,Allegheny
Bloom ,Clearfield
Bloom Township,Clearfield
Bloomfield ,Bedford
Bloomfield Borough,Perry
Bloomfield Township,Bedford
Blooming Grove ,Pike
Blooming Grove Township,Pike
Blooming Valley ,Crawford
Blooming Valley Borough,Crawford
Bloomsburg Town,Columbia
Bloss ,Tioga
Bloss Township,Tioga
Blossburg ,Tioga
Blossburg Borough,Tioga
Blythe ,Schuylkill
Blythe Township,Schuylkill
Boggs ,Armstrong
Boggs Township,Armstrong
Bolivar ,Westmoreland
Bolivar Borough,Westmoreland
Bonneauville ,Adams
Bonneauville Borough,Adams
Boswell ,Somerset
Boswell Borough,Somerset
Bowmanstown ,Carbon
Bowmanstown Borough,Carbon
Boyertown ,Berks
Boyertown Borough,Berks
Brackenridge ,Allegheny
Brackenridge Borough,Allegheny
Braddock ,Allegheny
Braddock Borough,Allegheny
Braddock Hills ,Allegheny
Braddock Hills Borough,Allegheny
Bradford ,Clearfield
Bradford City,Mckean
Bradford Township,Clearfield
Bradford Woods ,Allegheny
Bradford Woods Borough,Allegheny
Brady ,Butler
Brady Township,Butler
Bradys Bend ,Armstrong
Bradys Bend Township,Armstrong
Braintrim ,Wyoming
Braintrim Township,Wyoming
Branch ,Schuylkill
Branch Township,Schuylkill
Bratton ,Mifflin
Bratton Township,Mifflin
Brecknock ,Berks
Brecknock Township,Berks
Brentwood ,Allegheny
Brentwood Borough,Allegheny
Briar Creek ,Columbia
Briar Creek Borough,Columbia
Briar Creek Township,Columbia
Bridgeport ,Montgomery
Bridgeport Borough,Montgomery
Bridgeton ,Bucks
Bridgeton Township,Bucks
Bridgeville ,Allegheny
Bridgeville Borough,Allegheny
Bridgewater ,Beaver
Bridgewater Borough,Beaver
Bridgewater Township,Susquehanna
Brighton ,Beaver
Brighton Township,Beaver
Brisbin ,Clearfield
Brisbin Borough,Clearfield
Bristol ,Bucks
Bristol Borough,Bucks
Bristol Township,Bucks
Broad Top ,Bedford
Broad Top City ,Huntingdon
Broad Top City Borough,Huntingdon
Broad Top Township,Bedford
Brockway ,Jefferson
Brockway Borough,Jefferson
Brokenstraw ,Warren
Brokenstraw Township,Warren
Brookfield ,Tioga
Brookfield Township,Tioga
Brookhaven ,Delaware
Brookhaven Borough,Delaware
Brooklyn ,Susquehanna
Brooklyn Township,Susquehanna
Brookville ,Jefferson
Brookville Borough,Jefferson
Brothersvalley ,Somerset
Brothersvalley Township,Somerset
Brown ,Lycoming
Brown Township,Lycoming
Brownstown ,Cambria
Brownstown Borough,Cambria
Brownsville ,Fayette
Brownsville Borough,Fayette
Brownsville Township,Fayette
Bruin ,Butler
Bruin Borough,Butler
Brush Creek ,Fulton
Brush Creek Township,Fulton
Brush Valley ,Indiana
Brush Valley Township,Indiana
Bryn Athyn ,Montgomery
Bryn Athyn Borough,Montgomery
Buck ,Luzerne
Buck Township,Luzerne
Buckingham ,Bucks
Buckingham Township,Bucks
Buffalo ,Butler
Buffalo Township,Butler
Buffington ,Indiana
Buffington Township,Indiana
Bullskin ,Fayette
Bullskin Township,Fayette
Burgettstown ,Washington
Burgettstown Borough,Washington
Burlington ,Bradford
Burlington Borough,Bradford
Burlington Township,Bradford
Burnham ,Mifflin
Burnham Borough,Mifflin
Burnside ,Centre
Burnside Borough,Clearfield
Burnside Township,Centre
Burrell ,Armstrong
Burrell Township,Armstrong
Bushkill ,Northampton
Bushkill Township,Northampton
Butler ,Adams
Butler City,Butler
Butler Township,Adams
Cadogan ,Armstrong
Cadogan Township,Armstrong
Caernarvon ,Berks
Caernarvon Township,Berks
California ,Washington
California Borough,Washington
Callensburg ,Clarion
Callensburg Borough,Clarion
Callery ,Butler
Callery Borough,Butler
Callimont ,Somerset
Callimont Borough,Somerset
Caln ,Chester
Caln Township,Chester
Cambria ,Cambria
Cambria Township,Cambria
Cambridge ,Crawford
Cambridge Springs ,Crawford
Cambridge Springs Borough,Crawford
Cambridge Township,Crawford
Camp Hill ,Cumberland
Camp Hill Borough,Cumberland
Canaan ,Wayne
Canaan Township,Wayne
Canal ,Venango
Canal Township,Venango
Canoe ,Indiana
Canoe Township,Indiana
Canonsburg ,Washington
Canonsburg Borough,Washington
Canton ,Bradford
Canton Borough,Bradford
Canton Township,Bradford
Carbon ,Huntingdon
Carbon Township,Huntingdon
Carbondale ,Lackawanna
Carbondale City,Lackawanna
Carbondale Township,Lackawanna
Carlisle ,Cumberland
Carlisle Borough,Cumberland
Carmichaels ,Greene
Carmichaels Borough,Greene
Carnegie ,Allegheny
Carnegie Borough,Allegheny
Carroll ,Perry
Carroll Township,Perry
Carroll Valley ,Adams
Carroll Valley Borough,Adams
Carrolltown ,Cambria
Carrolltown Borough,Cambria
Cascade ,Lycoming
Cascade Township,Lycoming
Cass ,Huntingdon
Cass Township,Huntingdon
Cassandra ,Cambria
Cassandra Borough,Cambria
Casselman ,Somerset
Casselman Borough,Somerset
Cassville ,Huntingdon
Cassville Borough,Huntingdon
Castanea ,Clinton
Castanea Township,Clinton
Castle Shannon ,Allegheny
Castle Shannon Borough,Allegheny
Catasauqua ,Lehigh
Catasauqua Borough,Lehigh
Catawissa ,Columbia
Catawissa Borough,Columbia
Catawissa Township,Columbia
Catharine ,Blair
Catharine Township,Blair
Cecil ,Washington
Cecil Township,Washington
Center ,Beaver
Center Township,Beaver
Centerport ,Berks
Centerport Borough,Berks
Centerville ,Crawford
Centerville Borough,Crawford
Central City ,Somerset
Central City Borough,Somerset
Centralia ,Columbia
Centralia Borough,Columbia
Centre ,Berks
Centre Hall ,Centre
Centre Hall Borough,Centre
Centre Township,Berks
Ceres ,Mckean
Ceres Township,Mckean
Chadds Ford ,Delaware
Chadds Ford Township,Delaware
Chalfant ,Allegheny
Chalfant Borough,Allegheny
Chalfont ,Bucks
Chalfont Borough,Bucks
Chambersburg ,Franklin
Chambersburg Borough,Franklin
Chanceford ,York
Chanceford Township,York
Chapman ,Clinton
Chapman Borough,Northampton
Chapman Township,Clinton
Charleroi ,Washington
Charleroi Borough,Washington
Charleston ,Tioga
Charleston Township,Tioga
Charlestown ,Chester
Charlestown Township,Chester
Chartiers ,Washington
Chartiers Township,Washington
Chatham ,Tioga
Chatham Township,Tioga
Cheltenham ,Montgomery
Cheltenham Township,Montgomery
Cherry ,Butler
Cherry Grove ,Warren
Cherry Grove Township,Warren
Cherry Ridge ,Wayne
Cherry Ridge Township,Wayne
Cherry Township,Butler
Cherry Tree ,Indiana
Cherry Tree Borough,Indiana
Cherry Valley ,Butler
Cherry Valley Borough,Butler
Cherryhill ,Indiana
Cherryhill Township,Indiana
Cherrytree ,Venango
Cherrytree Township,Venango
Chest ,Cambria
Chest Springs ,Cambria
Chest Springs Borough,Cambria
Chest Township,Cambria
Chester ,Delaware
Chester City,Delaware
Chester Heights ,Delaware
Chester Heights Borough,Delaware
Chester Hill ,Clearfield
Chester Hill Borough,Clearfield
Chester Township,Delaware
Chestnuthill ,Monroe
Chestnuthill Township,Monroe
Cheswick ,Allegheny
Cheswick Borough,Allegheny
Chicora ,Butler
Chicora Borough,Butler
Chippewa ,Beaver
Chippewa Township,Beaver
Choconut ,Susquehanna
Choconut Township,Susquehanna
Christiana ,Lancaster
Christiana Borough,Lancaster
Churchill ,Allegheny
Churchill Borough,Allegheny
Clairton City,Allegheny
Clara ,Potter
Clara Township,Potter
Clarendon ,Warren
Clarendon Borough,Warren
Clarion ,Clarion
Clarion Borough,Clarion
Clarion Township,Clarion
Clark ,Mercer
Clark Borough,Mercer
Clarks Green ,Lackawanna
Clarks Green Borough,Lackawanna
Clarks Summit ,Lackawanna
Clarks Summit Borough,Lackawanna
Clarksville ,Greene
Clarksville Borough,Greene
Clay ,Butler
Clay Township,Butler
Claysville ,Washington
Claysville Borough,Washington
Clearfield ,Butler
Clearfield Borough,Clearfield
Clearfield Township,Butler
Cleona ,Lebanon
Cleona Borough,Lebanon
Cleveland ,Columbia
Cleveland Township,Columbia
Clifford ,Susquehanna
Clifford Township,Susquehanna
Clifton ,Lackawanna
Clifton Heights ,Delaware
Clifton Heights Borough,Delaware
Clifton Township,Lackawanna
Clinton ,Butler
Clinton Township,Butler
Clintonville ,Venango
Clintonville Borough,Venango
Clover ,Jefferson
Clover Township,Jefferson
Clymer ,Indiana
Clymer Borough,Indiana
Clymer Township,Tioga
Coal ,Northumberland
Coal Center ,Washington
Coal Center Borough,Washington
Coaldale ,Bedford
Coaldale Borough,Bedford
Coalmont ,Huntingdon
Coalmont Borough,Huntingdon
Coalport ,Clearfield
Coalport Borough,Clearfield
Coatesville City,Chester
Cochranton ,Crawford
Cochranton Borough,Crawford
Codorus ,York
Codorus Township,York
Cogan House ,Lycoming
Cogan House Township,Lycoming
Cokeburg ,Washington
Cokeburg Borough,Washington
Cold Spring ,Lebanon
Cold Spring Township,Lebanon
Colebrook ,Clinton
Colebrook Township,Clinton
Colebrookdale ,Berks
Colebrookdale Township,Berks
Colerain ,Bedford
Colerain Township,Bedford
College ,Centre
College Township,Centre
Collegeville ,Montgomery
Collegeville Borough,Montgomery
Colley ,Sullivan
Colley Township,Sullivan
Collier ,Allegheny
Collier Township,Allegheny
Collingdale ,Delaware
Collingdale Borough,Delaware
Columbia ,Bradford
Columbia Borough,Lancaster
Columbia Township,Bradford
Columbus ,Warren
Columbus Township,Warren
Colwyn ,Delaware
Colwyn Borough,Delaware
Concord ,Butler
Concord Township,Butler
Conemaugh ,Cambria
Conemaugh Township,Cambria
Conestoga ,Lancaster
Conestoga Township,Lancaster
Conewago ,Adams
Conewago Township,Adams
Conewango ,Warren
Conewango Township,Warren
Confluence ,Somerset
Confluence Borough,Somerset
Conneaut ,Crawford
Conneaut Lake ,Crawford
Conneaut Lake Borough,Crawford
Conneaut Township,Crawford
Conneautville ,Crawford
Conneautville Borough,Crawford
Connellsville ,Fayette
Connellsville City,Fayette
Connellsville Township,Fayette
Connoquenessing ,Butler
Connoquenessing Borough,Butler
Connoquenessing Township,Butler
Conoy ,Lancaster
Conoy Township,Lancaster
Conshohocken ,Montgomery
Conshohocken Borough,Montgomery
Conway ,Beaver
Conway Borough,Beaver
Conyngham ,Columbia
Conyngham Borough,Luzerne
Conyngham Township,Columbia
Cook ,Westmoreland
Cook Township,Westmoreland
Cooke ,Cumberland
Cooke Township,Cumberland
Coolbaugh ,Monroe
Coolbaugh Township,Monroe
Coolspring ,Mercer
Coolspring Township,Mercer
Cooper ,Clearfield
Cooper Township,Clearfield
Coopersburg ,Lehigh
Coopersburg Borough,Lehigh
Cooperstown ,Venango
Cooperstown Borough,Venango
Coplay ,Lehigh
Coplay Borough,Lehigh
Coraopolis ,Allegheny
Coraopolis Borough,Allegheny
Cornplanter ,Venango
Cornplanter Township,Venango
Cornwall ,Lebanon
Cornwall Borough,Lebanon
Corry City,Erie
Corsica ,Jefferson
Corsica Borough,Jefferson
Corydon ,Mckean
Corydon Township,Mckean
Coudersport ,Potter
Coudersport Borough,Potter
Courtdale ,Luzerne
Courtdale Borough,Luzerne
Covington ,Clearfield
Covington Township,Clearfield
Cowanshannock ,Armstrong
Cowanshannock Township,Armstrong
Crafton ,Allegheny
Crafton Borough,Allegheny
Cranberry ,Butler
Cranesville ,Erie
Cranesville Borough,Erie
Crawford ,Clinton
Crawford Township,Clinton
Creekside ,Indiana
Creekside Borough,Indiana
Crescent ,Allegheny
Crescent Township,Allegheny
Cresson ,Cambria
Cresson Borough,Cambria
Cresson Township,Cambria
Cressona ,Schuylkill
Cressona Borough,Schuylkill
Cromwell ,Huntingdon
Cromwell Township,Huntingdon
Cross Creek ,Washington
Cross Creek Township,Washington
Cross Roads ,York
Cross Roads Borough,York
Croyle ,Cambria
Croyle Township,Cambria
Cumberland ,Adams
Cumberland Township,Adams
Cumberland Valley ,Bedford
Cumberland Valley Township,Bedford
Cummings ,Lycoming
Cummings Township,Lycoming
Cumru ,Berks
Cumru Township,Berks
Curtin ,Centre
Curtin Township,Centre
Curwensville ,Clearfield
Curwensville Borough,Clearfield
Cussewago ,Crawford
Cussewago Township,Crawford
Daisytown ,Cambria
Daisytown Borough,Cambria
Dale ,Cambria
Dale Borough,Cambria
Dallas ,Luzerne
Dallas Borough,Luzerne
Dallas Township,Luzerne
Dallastown ,York
Dallastown Borough,York
Dalton ,Lackawanna
Dalton Borough,Lackawanna
Damascus ,Wayne
Damascus Township,Wayne
Danville ,Montour
Danville Borough,Montour
Darby ,Delaware
Darby Borough,Delaware
Darby Township,Delaware
Darlington ,Beaver
Darlington Borough,Beaver
Darlington Township,Beaver
Daugherty ,Beaver
Daugherty Township,Beaver
Dauphin ,Dauphin
Dauphin Borough,Dauphin
Davidson ,Sullivan
Davidson Township,Sullivan
Dawson ,Fayette
Dawson Borough,Fayette
Dayton ,Armstrong
Dayton Borough,Armstrong
Dean ,Cambria
Dean Township,Cambria
Decatur ,Clearfield
Decatur Township,Clearfield
Deemston ,Washington
Deemston Borough,Washington
Deer Creek ,Mercer
Deer Creek Township,Mercer
Deer Lake ,Schuylkill
Deer Lake Borough,Schuylkill
Deerfield ,Tioga
Deerfield Township,Tioga
Delano ,Schuylkill
Delano Township,Schuylkill
Delaware ,Juniata
Delaware Township,Juniata
Delaware Water Gap ,Monroe
Delaware Water Gap Borough,Monroe
Delmar ,Tioga
Delmar Township,Tioga
Delmont ,Westmoreland
Delmont Borough,Westmoreland
Delta ,York
Delta Borough,York
Dennison ,Luzerne
Dennison Township,Luzerne
Denver ,Lancaster
Denver Borough,Lancaster
Derry ,Dauphin
Derry Borough,Westmoreland
Derry Township,Dauphin
Dickinson ,Cumberland
Dickinson Township,Cumberland
Dickson City ,Lackawanna
Dickson City Borough,Lackawanna
Dillsburg ,York
Dillsburg Borough,York
Dimock ,Susquehanna
Dimock Township,Susquehanna
Dingman ,Pike
Dingman Township,Pike
District ,Berks
District Township,Berks
Donegal ,Butler
Donegal Borough,Westmoreland
Donegal Township,Butler
Donora ,Washington
Donora Borough,Washington
Dormont ,Allegheny
Dormont Borough,Allegheny
Dorrance ,Luzerne
Dorrance Township,Luzerne
Douglass ,Berks
Douglass Township,Berks
Dover ,York
Dover Borough,York
Dover Township,York
Downingtown ,Chester
Downingtown Borough,Chester
Doylestown ,Bucks
Doylestown Borough,Bucks
Doylestown Township,Bucks
Dravosburg ,Allegheny
Dravosburg Borough,Allegheny
Dreher ,Wayne
Dreher Township,Wayne
Driftwood ,Cameron
Driftwood Borough,Cameron
Drumore ,Lancaster
Drumore Township,Lancaster
Dublin ,Bucks
Dublin Borough,Bucks
Dublin Township,Fulton
Dubois City,Clearfield
Duboistown ,Lycoming
Duboistown Borough,Lycoming
Dudley ,Huntingdon
Dudley Borough,Huntingdon
Dunbar ,Fayette
Dunbar Borough,Fayette
Dunbar Township,Fayette
Duncan ,Tioga
Duncan Township,Tioga
Duncannon ,Perry
Duncannon Borough,Perry
Duncansville ,Blair
Duncansville Borough,Blair
Dunkard ,Greene
Dunkard Township,Greene
Dunlevy ,Washington
Dunlevy Borough,Washington
Dunmore ,Lackawanna
Dunmore Borough,Lackawanna
Dunnstable ,Clinton
Dunnstable Township,Clinton
Dupont ,Luzerne
Dupont Borough,Luzerne
Duquesne City,Allegheny
Durham ,Bucks
Durham Township,Bucks
Duryea ,Luzerne
Duryea Borough,Luzerne
Dushore ,Sullivan
Dushore Borough,Sullivan
Dyberry ,Wayne
Dyberry Township,Wayne
Eagles Mere ,Sullivan
Eagles Mere Borough,Sullivan
Earl ,Berks
Earl Township,Berks
East Allen ,Northampton
East Allen Township,Northampton
East Bangor ,Northampton
East Bangor Borough,Northampton
East Berlin ,Adams
East Berlin Borough,Adams
East Bethlehem ,Washington
East Bethlehem Township,Washington
East Bradford ,Chester
East Bradford Township,Chester
East Brady ,Clarion
East Brady Borough,Clarion
East Brandywine ,Chester
East Brandywine Township,Chester
East Brunswick ,Schuylkill
East Brunswick Township,Schuylkill
East Buffalo ,Union
East Buffalo Township,Union
East Butler ,Butler
East Butler Borough,Butler
East Caln ,Chester
East Caln Township,Chester
East Cameron ,Northumberland
East Cameron Township,Northumberland
East Carroll ,Cambria
East Carroll Township,Cambria
East Chillisquaque ,Northumberland
East Chillisquaque Township,Northumberland
East Cocalico ,Lancaster
East Cocalico Township,Lancaster
East Conemaugh ,Cambria
East Conemaugh Borough,Cambria
East Coventry ,Chester
East Coventry Township,Chester
East Deer ,Allegheny
East Deer Township,Allegheny
East Donegal ,Lancaster
East Donegal Township,Lancaster
East Drumore ,Lancaster
East Drumore Township,Lancaster
East Earl ,Lancaster
East Earl Township,Lancaster
East Fairfield ,Crawford
East Fairfield Township,Crawford
East Fallowfield ,Chester
East Fallowfield Township,Chester
East Finley ,Washington
East Finley Township,Washington
East Franklin ,Armstrong
East Franklin Township,Armstrong
East Goshen ,Chester
East Goshen Township,Chester
East Greenville ,Montgomery
East Greenville Borough,Montgomery
East Hanover ,Dauphin
East Hanover Township,Dauphin
East Hempfield ,Lancaster
East Hempfield Township,Lancaster
East Hopewell ,York
East Hopewell Township,York
East Huntingdon ,Westmoreland
East Huntingdon Township,Westmoreland
East Lackawannock ,Mercer
East Lackawannock Township,Mercer
East Lampeter ,Lancaster
East Lampeter Township,Lancaster
East Lansdowne ,Delaware
East Lansdowne Borough,Delaware
East Mahoning ,Indiana
East Mahoning Township,Indiana
East Manchester ,York
East Manchester Township,York
East Marl ,Chester
East Marlborough Township,Chester
East Mckeesport ,Allegheny
East Mckeesport Borough,Allegheny
East Mead ,Crawford
East Mead Township,Crawford
East Nantmeal ,Chester
East Nantmeal Township,Chester
East Norriton ,Montgomery
East Norriton Township,Montgomery
East Norwegian ,Schuylkill
East Norwegian Township,Schuylkill
East Nottingham ,Chester
East Nottingham Township,Chester
East Penn ,Carbon
East Penn Township,Carbon
East Pennsboro ,Cumberland
East Pennsboro Township,Cumberland
East Petersburg ,Lancaster
East Petersburg Borough,Lancaster
East Pikeland ,Chester
East Pikeland Township,Chester
East Pittsburgh ,Allegheny
East Pittsburgh Borough,Allegheny
East Prospect ,York
East Prospect Borough,York
East Providence ,Bedford
East Providence Township,Bedford
East Rochester ,Beaver
East Rochester Borough,Beaver
East Rockhill ,Bucks
East Rockhill Township,Bucks
East Side ,Carbon
East Side Borough,Carbon
East St Clair ,Bedford
East St Clair Township,Bedford
East Stroudsburg ,Monroe
East Stroudsburg Borough,Monroe
East Taylor ,Cambria
East Taylor Township,Cambria
East Union ,Schuylkill
East Union Township,Schuylkill
East Vandergrift ,Westmoreland
East Vandergrift Borough,Westmoreland
East Vincent ,Chester
East Vincent Township,Chester
East Washington ,Washington
East Washington Borough,Washington
East Wheatfield ,Indiana
East Wheatfield Township,Indiana
East Whiteland ,Chester
East Whiteland Township,Chester
Easton City,Northampton
Easttown ,Chester
Easttown Township,Chester
Eastvale ,Beaver
Eastvale Borough,Beaver
Eaton ,Wyoming
Eaton Township,Wyoming
Eau Claire ,Butler
Eau Claire Borough,Butler
Ebensburg ,Cambria
Ebensburg Borough,Cambria
Economy ,Beaver
Economy Borough,Beaver
Eddystone ,Delaware
Eddystone Borough,Delaware
Eden ,Lancaster
Eden Township,Lancaster
Edgewood ,Allegheny
Edgewood Borough,Allegheny
Edgeworth ,Allegheny
Edgeworth Borough,Allegheny
Edgmont ,Delaware
Edgmont Township,Delaware
Edinboro ,Erie
Edinboro Borough,Erie
Edwardsville ,Luzerne
Edwardsville Borough,Luzerne
Ehrenfeld ,Cambria
Ehrenfeld Borough,Cambria
Elco ,Washington
Elco Borough,Washington
Elder ,Cambria
Elder Township,Cambria
Elderton ,Armstrong
Elderton Borough,Armstrong
Eldred ,Jefferson
Eldred Borough,Mckean
Eldred Township,Jefferson
Elgin ,Erie
Elgin Borough,Erie
Elizabeth ,Allegheny
Elizabeth Borough,Allegheny
Elizabeth Township,Allegheny
Elizabethtown ,Lancaster
Elizabethtown Borough,Lancaster
Elizabethville ,Dauphin
Elizabethville Borough,Dauphin
Elk ,Chester
Elk Creek ,Erie
Elk Creek Township,Erie
Elk Lick ,Somerset
Elk Lick Township,Somerset
Elk Township,Chester
Elkland ,Sullivan
Elkland Borough,Tioga
Elkland Township,Sullivan
Ellport ,Lawrence
Ellport Borough,Lawrence
Ellsworth ,Washington
Ellsworth Borough,Washington
Ellwood City ,Lawrence
Ellwood City Borough,Lawrence
Elmhurst ,Lackawanna
Elmhurst Township,Lackawanna
Elverson ,Chester
Elverson Borough,Chester
Emlenton ,Venango
Emlenton Borough,Venango
Emmaus ,Lehigh
Emmaus Borough,Lehigh
